No., Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
15,DF,Christian Ramos,(1988-11-04)4 November 1988 (aged 29),66,3,Veracruz,Peru
16,MF,Wilder Cartagena,(1994-09-23)23 September 1994 (aged 23),3,0,Veracruz,Peru
17,DF,Luis Advincula,(1990-03-02)2 March 1990 (aged 28),65,0,Lobos BUAP,Peru
18,FW,Andre Carrillo,(1991-06-14)14 June 1991 (aged 27),45,5,Watford,Peru
19,MF,Yoshimar Yotun,(1990-04-07)7 April 1990 (aged 28),73,2,Orlando City,Peru
20,FW,Edison Flores,(1994-05-14)14 May 1994 (aged 24),29,9,AaB,Peru
21,GK,Jose Carvallo,(1986-03-01)1 March 1986 (aged 32),6,0,UTC,Peru
22,DF,Nilson Loyola,(1994-10-26)26 October 1994 (aged 23),3,0,Melgar,Peru
23,MF,Pedro Aquino,(1995-04-13)13 April 1995 (aged 23),13,0,Lobos BUAP,Peru
1,GK,Nahuel Guzman,(1986-02-10)10 February 1986 (aged 32),6,0,UANL,Argentina
2,DF,Gabriel Mercado,(1987-03-18)18 March 1987 (aged 31),20,3,Sevilla,Argentina
3,DF,Nicolas Tagliafico,(1992-08-31)31 August 1992 (aged 25),4,0,Ajax,Argentina
4,DF,Cristian Ansaldi,(1986-09-20)20 September 1986 (aged 31),5,0,Torino,Argentina
5,MF,Lucas Biglia,(1986-01-30)30 January 1986 (aged 32),57,1,Milan,Argentina
6,DF,Federico Fazio,(1987-03-17)17 March 1987 (aged 31),9,1,Roma,Argentina
7,MF,Ever Banega,(1988-06-29)29 June 1988 (aged 29),62,6,Sevilla,Argentina
8,DF,Marcos Acuna,(1991-10-28)28 October 1991 (aged 26),10,0,Sporting CP,Argentina
9,FW,Gonzalo Higuain,(1987-12-10)10 December 1987 (aged 30),71,31,Juventus,Argentina
10,FW,Lionel Messi,(1987-06-24)24 June 1987 (aged 30),124,64,Barcelona,Argentina
11,MF,Angel Di Maria,(1988-02-14)14 February 1988 (aged 30),94,19,Paris Saint-Germain,Argentina
12,GK,Franco Armani,(1986-10-16)16 October 1986 (aged 31),0,0,River Plate,Argentina
13,MF,Maximiliano Meza,(1992-12-15)15 December 1992 (aged 25),2,0,Independiente,Argentina
14,DF,Javier Mascherano,(1984-06-08)8 June 1984 (aged 34),143,3,Hebei China Fortune,Argentina
15,MF,Enzo Perez,(1986-02-22)22 February 1986 (aged 32),23,1,River Plate,Argentina
16,DF,Marcos Rojo,(1990-03-20)20 March 1990 (aged 28),56,2,Manchester United,Argentina
17,DF,Nicolas Otamendi,(1988-02-12)12 February 1988 (aged 30),54,4,Manchester City,Argentina
18,DF,Eduardo Salvio,(1990-07-13)13 July 1990 (aged 27),9,0,Benfica,Argentina
19,FW,Sergio Aguero,(1988-06-02)2 June 1988 (aged 30),85,37,Manchester City,Argentina
20,MF,Giovani Lo Celso,(1996-04-09)9 April 1996 (aged 22),5,0,Paris Saint-Germain,Argentina
21,FW,Paulo Dybala,(1993-11-15)15 November 1993 (aged 24),12,0,Juventus,Argentina
22,MF,Cristian Pavon,(1996-01-21)21 January 1996 (aged 22),5,0,Boca Juniors,Argentina
23,GK,Willy Caballero,(1981-09-28)28 September 1981 (aged 36),3,0,Chelsea,Argentina
1,GK,Dominik Livakovic,(1995-01-09)9 January 1995 (aged 23),1,0,Dinamo Zagreb,Croatia
2,DF,Sime Vrsaljko,(1992-01-10)10 January 1992 (aged 26),35,0,Atletico Madrid,Croatia
3,DF,Ivan Strinic,(1987-07-17)17 July 1987 (aged 30),43,0,Sampdoria,Croatia
4,FW,Ivan Perisic,(1989-02-02)2 February 1989 (aged 29),66,18,Inter Milan,Croatia
5,DF,Vedran Corluka,(1986-02-05)5 February 1986 (aged 32),99,4,Lokomotiv Moscow,Croatia
6,DF,Dejan Lovren,(1989-07-05)5 July 1989 (aged 28),39,2,Liverpool,Croatia
7,MF,Ivan Rakitic,(1988-03-10)10 March 1988 (aged 30),92,14,Barcelona,Croatia
8,MF,Mateo Kovacic,(1994-05-06)6 May 1994 (aged 24),41,1,Real Madrid,Croatia
9,FW,Andrej Kramaric,(1991-06-19)19 June 1991 (aged 26),31,9,1899 Hoffenheim,Croatia
10,MF,Luka Modric,(1985-09-09)9 September 1985 (aged 32),106,12,Real Madrid,Croatia
11,MF,Marcelo Brozovic,(1992-11-16)16 November 1992 (aged 25),35,6,Inter Milan,Croatia
12,GK,Lovre Kalinic,(1990-04-03)3 April 1990 (aged 28),11,0,Gent,Croatia
13,DF,Tin Jedvaj,(1995-11-28)28 November 1995 (aged 22),12,0,Bayer Leverkusen,Croatia
14,MF,Filip Bradaric,(1992-01-11)11 January 1992 (aged 26),4,0,Rijeka,Croatia
15,DF,Duje Caleta-Car,(1996-09-17)17 September 1996 (aged 21),1,0,Red Bull Salzburg,Croatia
16,FW,Nikola Kalinic,(1988-01-05)5 January 1988 (aged 30),42,15,Milan,Croatia
17,FW,Mario Mandzukic,(1986-05-21)21 May 1986 (aged 32),83,30,Juventus,Croatia
18,FW,Ante Rebic,(1993-09-21)21 September 1993 (aged 24),16,1,Eintracht Frankfurt,Croatia
19,MF,Milan Badelj,(1989-02-25)25 February 1989 (aged 29),38,1,Fiorentina,Croatia
20,FW,Marko Pjaca,(1995-05-06)6 May 1995 (aged 23),16,1,Schalke 04,Croatia
21,DF,Domagoj Vida,(1989-04-29)29 April 1989 (aged 29),59,2,Besiktas,Croatia
22,DF,Josip Pivaric,(1989-01-30)30 January 1989 (aged 29),19,0,Dynamo Kyiv,Croatia
23,GK,Danijel Subasic,(1984-10-27)27 October 1984 (aged 33),38,0,Monaco,Croatia
1,GK,Hannes Þor Halldorsson,(1984-04-27)27 April 1984 (aged 34),49,0,Randers,Iceland
2,DF,Birkir Mar Sævarsson,(1984-11-11)11 November 1984 (aged 33),79,1,Valur,Iceland
3,MF,Samuel Friðjonsson,(1996-02-22)22 February 1996 (aged 22),4,0,Valerenga,Iceland
4,MF,Albert Guðmundsson,(1997-06-15)15 June 1997 (aged 20),5,3,PSV Eindhoven,Iceland
5,DF,Sverrir Ingi Ingason,(1993-08-05)5 August 1993 (aged 24),20,3,Rostov,Iceland
6,DF,Ragnar Sigurðsson,(1986-06-19)19 June 1986 (aged 31),77,3,Rostov,Iceland
7,MF,Johann Berg Guðmundsson,(1990-10-27)27 October 1990 (aged 27),67,7,Burnley,Iceland
8,MF,Birkir Bjarnason,(1988-05-27)27 May 1988 (aged 30),67,9,Aston Villa,Iceland
9,FW,Bjorn Bergmann Sigurðarson,(1991-02-26)26 February 1991 (aged 27),12,1,Rostov,Iceland
10,MF,Gylfi Sigurðsson,(1989-09-08)8 September 1989 (aged 28),57,19,Everton,Iceland
11,FW,Alfreð Finnbogason,(1989-02-01)1 February 1989 (aged 29),47,13,FC Augsburg,Iceland
12,GK,Frederik Schram,(1995-01-19)19 January 1995 (aged 23),4,0,Roskilde,Iceland
13,GK,Runar Alex Runarsson,(1995-02-18)18 February 1995 (aged 23),3,0,Nordsjælland,Iceland
14,DF,Kari Arnason,(1982-10-13)13 October 1982 (aged 35),67,5,Aberdeen,Iceland
15,DF,Holmar Orn Eyjolfsson,(1990-08-06)6 August 1990 (aged 27),10,1,Levski Sofia,Iceland
16,MF,Olafur Ingi Skulason,(1983-04-01)1 April 1983 (aged 35),36,1,Kardemir Karabukspor,Iceland
17,MF,Aron Gunnarsson,(1989-04-22)22 April 1989 (aged 29),77,2,Cardiff City,Iceland
18,DF,Horður Bjorgvin Magnusson,(1993-02-11)11 February 1993 (aged 25),16,2,Bristol City,Iceland
19,MF,Rurik Gislason,(1988-02-25)25 February 1988 (aged 30),47,3,SV Sandhausen,Iceland
20,MF,Emil Hallfreðsson,(1984-06-29)29 June 1984 (aged 33),64,1,Udinese,Iceland
21,MF,Arnor Ingvi Traustason,(1993-04-30)30 April 1993 (aged 25),19,5,Malmo,Iceland
22,FW,Jon Daði Boðvarsson,(1992-05-25)25 May 1992 (aged 26),38,2,Reading,Iceland
23,DF,Ari Freyr Skulason,(1987-05-14)14 May 1987 (aged 31),56,0,Lokeren,Iceland
1,GK,Ikechukwu Ezenwa,(1988-10-16)16 October 1988 (aged 29),24,0,Enyimba,Nigeria
2,DF,Brian Idowu,(1992-05-18)18 May 1992 (aged 26),5,1,Amkar Perm,Nigeria
3,DF,Elderson Echiejile,(1988-01-20)20 January 1988 (aged 30),62,3,Cercle Brugge,Nigeria
4,MF,Wilfred Ndidi,(1996-12-16)16 December 1996 (aged 21),17,0,Leicester City,Nigeria
5,DF,William Troost-Ekong,(1993-09-01)1 September 1993 (aged 24),22,1,Bursaspor,Nigeria
6,DF,Leon Balogun,(1988-06-28)28 June 1988 (aged 29),19,0,Mainz 05,Nigeria
7,FW,Ahmed Musa,(1992-10-14)14 October 1992 (aged 25),72,13,CSKA Moscow,Nigeria
8,MF,Oghenekaro Etebo,(1995-11-09)9 November 1995 (aged 22),14,1,Las Palmas,Nigeria
9,FW,Odion Ighalo,(1989-06-16)16 June 1989 (aged 28),19,4,Changchun Yatai,Nigeria
10,MF,John Obi Mikel,(1987-04-22)22 April 1987 (aged 31),85,6,Tianjin TEDA,Nigeria
11,FW,Victor Moses,(1990-12-12)12 December 1990 (aged 27),34,11,Chelsea,Nigeria
12,DF,Shehu Abdullahi,(1993-03-12)12 March 1993 (aged 25),25,0,Bursaspor,Nigeria
13,FW,Simeon Nwankwo,(1992-05-07)7 May 1992 (aged 26),2,0,Crotone,Nigeria
14,FW,Kelechi Iheanacho,(1996-03-10)10 March 1996 (aged 22),18,8,Leicester City,Nigeria
15,MF,Joel Obi,(1991-05-22)22 May 1991 (aged 27),17,0,Torino,Nigeria
16,GK,Daniel Akpeyi,(1986-03-08)8 March 1986 (aged 32),7,0,Chippa United,Nigeria
17,MF,Ogenyi Onazi,(1992-12-25)25 December 1992 (aged 25),52,1,Trabzonspor,Nigeria
18,FW,Alex Iwobi,(1996-05-03)3 May 1996 (aged 22),19,5,Arsenal,Nigeria
19,MF,John Ogu,(1988-04-20)20 April 1988 (aged 30),20,2,Hapoel Be'er Sheva,Nigeria
20,DF,Chidozie Awaziem,(1997-01-01)1 January 1997 (aged 21),4,0,Nantes,Nigeria
21,DF,Tyronne Ebuehi,(1995-12-16)16 December 1995 (aged 22),7,0,ADO Den Haag,Nigeria
22,DF,Kenneth Omeruo,(1993-10-17)17 October 1993 (aged 24),39,0,KasImpasa,Nigeria
23,GK,Francis Uzoho,(1998-10-28)28 October 1998 (aged 19),6,0,Deportivo La Coruna,Nigeria
1,GK,Alisson (footballer,(1992-10-02)2 October 1992 (aged 25),26,0,Roma,Brazil
2,DF,Thiago Silva,(1984-09-22)22 September 1984 (aged 33),71,5,Paris Saint-Germain,Brazil
3,DF,Miranda,(1984-09-07)7 September 1984 (aged 33),47,2,Inter Milan,Brazil
4,DF,Pedro Geromel,(1985-09-21)21 September 1985 (aged 32),2,0,Gremio,Brazil
5,MF,Casemiro,(1992-02-23)23 February 1992 (aged 26),24,0,Real Madrid,Brazil
6,DF,Filipe Luis,(1985-08-09)9 August 1985 (aged 32),33,2,Atletico Madrid,Brazil
7,FW,Douglas Costa,(1990-09-14)14 September 1990 (aged 27),25,3,Juventus,Brazil
8,MF,Renato Augusto,(1988-02-08)8 February 1988 (aged 30),28,5,Beijing Sinobo Guoan,Brazil
9,FW,Gabriel Jesus,(1997-04-03)3 April 1997 (aged 21),17,10,Manchester City,Brazil
10,FW,Neymar,(1992-02-05)5 February 1992 (aged 26),85,55,Paris Saint-Germain,Brazil
11,MF,Philippe Coutinho,(1992-06-12)12 June 1992 (aged 26),37,10,Barcelona,Brazil
12,DF,Marcelo,(1988-05-12)12 May 1988 (aged 30),54,6,Real Madrid,Brazil
13,DF,Marquinhos,(1994-05-14)14 May 1994 (aged 24),26,0,Paris Saint-Germain,Brazil
14,DF,Danilo (footballer,(1991-07-15)15 July 1991 (aged 26),18,0,Manchester City,Brazil
15,MF,Paulinho,(1988-07-25)25 July 1988 (aged 29),50,12,Barcelona,Brazil
16,GK,Cassio Ramos,(1987-06-06)6 June 1987 (aged 31),1,0,Corinthians,Brazil
17,MF,Fernandinho,(1985-05-04)4 May 1985 (aged 33),44,2,Manchester City,Brazil
18,MF,Fred,(1993-03-05)5 March 1993 (aged 25),8,0,Shakhtar Donetsk,Brazil
19,MF,Willian,(1988-08-09)9 August 1988 (aged 29),57,8,Chelsea,Brazil
20,FW,Roberto Firmino,(1991-10-02)2 October 1991 (aged 26),21,6,Liverpool,Brazil
21,FW,Taison,(1988-01-13)13 January 1988 (aged 30),8,1,Shakhtar Donetsk,Brazil
22,DF,Fagner Conserva Lemos,(1989-06-11)11 June 1989 (aged 29),4,0,Corinthians,Brazil
23,GK,Ederson Moraes,(1993-08-17)17 August 1993 (aged 24),1,0,Manchester City,Brazil
1,GK,Keylor Navas,(1986-12-15)15 December 1986 (aged 31),81,0,Real Madrid,Costa Rica
2,DF,Johnny Acosta,(1983-07-21)21 July 1983 (aged 34),69,2,Aguilas Doradas,Costa Rica
3,DF,Giancarlo Gonzalez,(1988-02-08)8 February 1988 (aged 30),70,2,Bologna,Costa Rica
4,DF,Ian Smith (footballer,(1998-03-06)6 March 1998 (aged 20),4,0,Norrkoping,Costa Rica
5,MF,Celso Borges,(1988-05-27)27 May 1988 (aged 30),113,21,Deportivo La Coruna,Costa Rica
6,DF,Oscar Duarte,(1989-06-03)3 June 1989 (aged 29),39,2,Espanyol,Costa Rica
7,MF,Christian Bolanos,(1984-05-17)17 May 1984 (aged 34),81,6,Saprissa,Costa Rica
8,DF,Bryan Oviedo,(1990-02-18)18 February 1990 (aged 28),44,1,Sunderland,Costa Rica
9,MF,Daniel Colindres,(1985-01-10)10 January 1985 (aged 33),11,0,Saprissa,Costa Rica
10,MF,Bryan Ruiz,(1985-08-18)18 August 1985 (aged 32),110,24,Sporting CP,Costa Rica
11,FW,Johan Venegas,(1988-11-27)27 November 1988 (aged 29),47,10,Saprissa,Costa Rica
12,FW,Joel Campbell,(1992-06-26)26 June 1992 (aged 25),77,15,Real Betis,Costa Rica
13,MF,Rodney Wallace,(1988-06-17)17 June 1988 (aged 29),30,4,New York City FC,Costa Rica
14,MF,Randall Azofeifa,(1984-12-30)30 December 1984 (aged 33),58,3,Herediano,Costa Rica
15,DF,Francisco Calvo,(1992-07-08)8 July 1992 (aged 25),38,4,Minnesota United,Costa Rica
16,DF,Cristian Gamboa,(1989-10-24)24 October 1989 (aged 28),68,3,Celtic,Costa Rica
17,MF,Yeltsin Tejeda,(1992-03-17)17 March 1992 (aged 26),51,0,Lausanne,Costa Rica
18,GK,Patrick Pemberton,(1982-04-24)24 April 1982 (aged 36),39,0,Alajuelense,Costa Rica
19,DF,Kendall Waston,(1988-01-01)1 January 1988 (aged 30),26,3,Vancouver Whitecaps FC,Costa Rica
20,MF,David Guzman,(1990-02-18)18 February 1990 (aged 28),43,0,Portland Timbers,Costa Rica
21,FW,Marco Urena,(1990-03-05)5 March 1990 (aged 28),64,15,Los Angeles FC,Costa Rica
22,DF,Kenner Gutierrez,(1989-06-09)9 June 1989 (aged 29),9,0,Alajuelense,Costa Rica
23,GK,Leonel Moreira,(1990-04-02)2 April 1990 (aged 28),9,0,Herediano,Costa Rica
1,GK,Vladimir Stojkovic,(1983-07-28)28 July 1983 (aged 34),81,0,Partizan,Serbia
2,DF,Antonio Rukavina,(1984-01-26)26 January 1984 (aged 34),47,0,Villarreal,Serbia
3,DF,Dusko Tosic,(1985-01-19)19 January 1985 (aged 33),24,1,Besiktas,Serbia
4,MF,Luka Milivojevic,(1991-04-07)7 April 1991 (aged 27),28,1,Crystal Palace,Serbia
5,DF,Uros Spajic,(1993-02-13)13 February 1993 (aged 25),5,0,Anderlecht,Serbia
6,DF,Branislav Ivanovic,(1984-02-22)22 February 1984 (aged 34),103,13,Zenit Saint Petersburg,Serbia
7,MF,Andrija Zivkovic,(1996-07-11)11 July 1996 (aged 21),10,0,Benfica,Serbia
8,FW,Aleksandar Prijovic,(1990-04-21)21 April 1990 (aged 28),9,1,PAOK,Serbia
9,FW,Aleksandar Mitrovic,(1994-09-16)16 September 1994 (aged 23),37,16,Fulham,Serbia
10,MF,Dusan Tadic,(1988-11-20)20 November 1988 (aged 29),53,13,Southampton,Serbia
11,DF,Aleksandar Kolarov,(1985-11-10)10 November 1985 (aged 32),76,10,Roma,Serbia
12,GK,Predrag Rajkovic,(1995-10-31)31 October 1995 (aged 22),8,0,Maccabi Tel Aviv,Serbia
13,DF,Milos Veljkovic,(1995-09-26)26 September 1995 (aged 22),2,0,Werder Bremen,Serbia
14,DF,Milan Rodic,(1991-04-02)2 April 1991 (aged 27),1,0,Red Star Belgrade,Serbia
15,DF,Nikola Milenkovic,(1997-10-12)12 October 1997 (aged 20),3,0,Fiorentina,Serbia
16,MF,Marko Grujic,(1996-04-13)13 April 1996 (aged 22),8,0,Cardiff City,Serbia
17,MF,Filip Kostic,(1992-11-01)1 November 1992 (aged 25),23,2,Hamburger SV,Serbia
18,FW,Nemanja Radonjic,(1996-02-15)15 February 1996 (aged 22),3,0,Red Star Belgrade,Serbia
19,FW,Luka Jovic,(1997-12-23)23 December 1997 (aged 20),1,0,Eintracht Frankfurt,Serbia
20,MF,Sergej Milinkovic-Savic,(1995-02-27)27 February 1995 (aged 23),4,0,Lazio,Serbia
21,MF,Nemanja Matic,(1988-08-01)1 August 1988 (aged 29),40,2,Manchester United,Serbia
22,MF,Adem Ljajic,(1991-09-29)29 September 1991 (aged 26),29,6,Torino,Serbia
23,GK,Marko Dmitrovic,(1992-01-24)24 January 1992 (aged 26),2,0,Eibar,Serbia
1,GK,Yann Sommer,(1988-12-17)17 December 1988 (aged 29),35,0,Borussia Monchengladbach,Switzerland
2,DF,Stephan Lichtsteiner,(1984-01-16)16 January 1984 (aged 34),100,8,Juventus,Switzerland
3,DF,Francois Moubandje,(1990-06-21)21 June 1990 (aged 27),18,0,Toulouse,Switzerland
4,DF,Nico Elvedi,(1996-09-30)30 September 1996 (aged 21),6,0,Borussia Monchengladbach,Switzerland
5,DF,Manuel Akanji,(1995-07-19)19 July 1995 (aged 22),7,0,Borussia Dortmund,Switzerland
6,DF,Michael Lang,(1991-02-08)8 February 1991 (aged 27),24,2,Basel,Switzerland
7,FW,Breel Embolo,(1997-02-14)14 February 1997 (aged 21),25,3,Schalke 04,Switzerland
8,MF,Remo Freuler,(1992-04-15)15 April 1992 (aged 26),10,0,Atalanta,Switzerland
9,FW,Haris Seferovic,(1992-02-22)22 February 1992 (aged 26),51,12,Benfica,Switzerland
10,MF,Granit Xhaka,(1992-09-27)27 September 1992 (aged 25),62,9,Arsenal,Switzerland
11,MF,Valon Behrami,(1985-04-19)19 April 1985 (aged 33),79,2,Udinese,Switzerland
12,GK,Yvon Mvogo,(1994-06-06)6 June 1994 (aged 24),0,0,RB Leipzig,Switzerland
13,DF,Ricardo Rodriguez,(1992-08-25)25 August 1992 (aged 25),53,5,Milan,Switzerland
14,MF,Steven Zuber,(1991-08-17)17 August 1991 (aged 26),12,3,1899 Hoffenheim,Switzerland
15,MF,Blerim Dzemaili,(1986-04-12)12 April 1986 (aged 32),65,9,Bologna,Switzerland
16,MF,Gelson Fernandes,(1986-09-02)2 September 1986 (aged 31),67,2,Eintracht Frankfurt,Switzerland
17,MF,Denis Zakaria,(1996-11-20)20 November 1996 (aged 21),10,0,Borussia Monchengladbach,Switzerland
18,FW,Mario Gavranovic,(1989-11-24)24 November 1989 (aged 28),14,5,Dinamo Zagreb,Switzerland
19,FW,Josip Drmic,(1992-08-08)8 August 1992 (aged 25),29,9,Borussia Monchengladbach,Switzerland
20,DF,Johan Djourou,(1987-01-18)18 January 1987 (aged 31),74,2,Antalyaspor,Switzerland
21,GK,Roman Burki,(1990-11-14)14 November 1990 (aged 27),9,0,Borussia Dortmund,Switzerland
22,DF,Fabian Schar,(1991-12-20)20 December 1991 (aged 26),39,7,Deportivo La Coruna,Switzerland
23,MF,Xherdan Shaqiri,(1991-10-10)10 October 1991 (aged 26),70,20,Stoke City,Switzerland
1,GK,Manuel Neuer,(1986-03-27)27 March 1986 (aged 32),76,0,Bayern Munich,Germany
2,DF,Marvin Plattenhardt,(1992-01-26)26 January 1992 (aged 26),6,0,Hertha BSC,Germany
3,DF,Jonas Hector,(1990-05-27)27 May 1990 (aged 28),38,3,1. FC Koln,Germany
4,DF,Matthias Ginter,(1994-01-19)19 January 1994 (aged 24),18,0,Borussia Monchengladbach,Germany
5,DF,Mats Hummels,(1988-12-16)16 December 1988 (aged 29),64,5,Bayern Munich,Germany
6,MF,Sami Khedira,(1987-04-04)4 April 1987 (aged 31),75,7,Juventus,Germany
7,MF,Julian Draxler,(1993-09-20)20 September 1993 (aged 24),44,6,Paris Saint-Germain,Germany
8,MF,Toni Kroos,(1990-01-04)4 January 1990 (aged 28),83,12,Real Madrid,Germany
9,FW,Timo Werner,(1996-03-06)6 March 1996 (aged 22),14,8,RB Leipzig,Germany
10,MF,Mesut Ozil,(1988-10-15)15 October 1988 (aged 29),90,23,Arsenal,Germany
11,FW,Marco Reus,(1989-05-31)31 May 1989 (aged 29),31,9,Borussia Dortmund,Germany
12,GK,Kevin Trapp,(1990-07-08)8 July 1990 (aged 27),3,0,Paris Saint-Germain,Germany
13,MF,Thomas Muller,(1989-09-13)13 September 1989 (aged 28),91,38,Bayern Munich,Germany
14,MF,Leon Goretzka,(1995-02-06)6 February 1995 (aged 23),15,6,Schalke 04,Germany
15,DF,Niklas Sule,(1995-09-03)3 September 1995 (aged 22),11,0,Bayern Munich,Germany
16,DF,Antonio Rudiger,(1993-03-03)3 March 1993 (aged 25),24,1,Chelsea,Germany
17,DF,Jerome Boateng,(1988-09-03)3 September 1988 (aged 29),71,1,Bayern Munich,Germany
18,DF,Joshua Kimmich,(1995-02-08)8 February 1995 (aged 23),29,3,Bayern Munich,Germany
19,MF,Sebastian Rudy,(1990-02-28)28 February 1990 (aged 28),25,1,Bayern Munich,Germany
20,MF,Julian Brandt,(1996-05-02)2 May 1996 (aged 22),16,1,Bayer Leverkusen,Germany
21,MF,Ilkay Gundogan,(1990-10-24)24 October 1990 (aged 27),26,4,Manchester City,Germany
22,GK,Marc-Andre ter Stegen,(1992-04-30)30 April 1992 (aged 26),20,0,Barcelona,Germany
23,FW,Mario Gomez,(1985-07-10)10 July 1985 (aged 32),75,31,VfB Stuttgart,Germany
1,GK,Jose de Jesus Corona,(1981-01-26)26 January 1981 (aged 37),52,0,Cruz Azul,Mexico
2,DF,Hugo Ayala,(1987-03-31)31 March 1987 (aged 31),43,1,UANL,Mexico
3,DF,Carlos Salcedo,(1993-09-29)29 September 1993 (aged 24),21,0,Eintracht Frankfurt,Mexico
4,DF,Rafael Marquez,(1979-02-13)13 February 1979 (aged 39),145,18,Atlas,Mexico
5,MF,Erick Gutierrez,(1995-06-15)15 June 1995 (aged 22),9,0,Pachuca,Mexico
6,MF,Jonathan dos Santos,(1990-04-26)26 April 1990 (aged 28),32,0,LA Galaxy,Mexico
7,MF,Miguel Layun,(1988-06-25)25 June 1988 (aged 29),64,6,Sevilla,Mexico
8,FW,Marco Fabian,(1989-07-21)21 July 1989 (aged 28),39,9,Eintracht Frankfurt,Mexico
9,FW,Raul Jimenez,(1991-05-05)5 May 1991 (aged 27),63,13,Benfica,Mexico
10,MF,Giovani dos Santos,(1989-05-11)11 May 1989 (aged 29),105,19,LA Galaxy,Mexico
11,FW,Carlos Vela,(1989-03-01)1 March 1989 (aged 29),68,18,Los Angeles FC,Mexico
12,GK,Alfredo Talavera,(1982-09-18)18 September 1982 (aged 35),27,0,Toluca,Mexico
13,GK,Guillermo Ochoa,(1985-07-13)13 July 1985 (aged 32),94,0,Standard Liege,Mexico
14,FW,Javier Hernandez,(1988-06-01)1 June 1988 (aged 30),102,49,West Ham United,Mexico
15,DF,Hector Moreno,(1988-01-17)17 January 1988 (aged 30),92,3,Real Sociedad,Mexico
16,DF,Hector Herrera,(1990-04-19)19 April 1990 (aged 28),66,5,Porto,Mexico
17,MF,Jesus Manuel Corona,(1993-01-06)6 January 1993 (aged 25),36,7,Porto,Mexico
18,MF,Andres Guardado,(1986-09-28)28 September 1986 (aged 31),145,25,Real Betis,Mexico
19,FW,Oribe Peralta,(1984-01-12)12 January 1984 (aged 34),67,26,America,Mexico
20,MF,Javier Aquino,(1990-02-11)11 February 1990 (aged 28),53,0,UANL,Mexico
21,DF,Edson Alvarez,(1997-10-24)24 October 1997 (aged 20),13,1,America,Mexico
22,FW,Hirving Lozano,(1995-07-30)30 July 1995 (aged 22),28,7,PSV Eindhoven,Mexico
23,MF,Jesus Gallardo,(1994-08-15)15 August 1994 (aged 23),23,0,UNAM,Mexico
1,GK,Kim Seung-gyu,(1990-09-30)30 September 1990 (aged 27),33,0,Vissel Kobe,South Korea
2,DF,Lee Yong,(1986-12-24)24 December 1986 (aged 31),28,0,Jeonbuk Hyundai Motors,South Korea
3,DF,Jung Seung-hyun,(1994-04-03)3 April 1994 (aged 24),6,0,Sagan Tosu,South Korea
4,DF,Oh Ban-suk,(1988-05-20)20 May 1988 (aged 30),2,0,Jeju United,South Korea
5,DF,Yun Young-sun,(1988-10-04)4 October 1988 (aged 29),6,0,Seongnam FC,South Korea
6,DF,Park Joo-ho,(1987-01-16)16 January 1987 (aged 31),36,0,Ulsan Hyundai,South Korea
7,FW,Son Heung-min,(1992-07-08)8 July 1992 (aged 25),67,21,Tottenham Hotspur,South Korea
8,MF,Ju Se-jong,(1990-10-30)30 October 1990 (aged 27),11,1,Asan Mugunghwa,South Korea
9,FW,Kim Shin-wook,(1988-04-14)14 April 1988 (aged 30),50,10,Jeonbuk Hyundai Motors,South Korea
10,MF,Lee Seung-woo,(1998-01-06)6 January 1998 (aged 20),4,0,Hellas Verona,South Korea
11,FW,Hwang Hee-chan,(1996-01-26)26 January 1996 (aged 22),14,2,Red Bull Salzburg,South Korea
12,DF,Kim Min-woo,(1990-02-25)25 February 1990 (aged 28),20,1,Sangju Sangmu,South Korea
13,MF,Koo Ja-cheol,(1989-02-27)27 February 1989 (aged 29),68,19,FC Augsburg,South Korea
14,DF,Hong Chul,(1990-09-17)17 September 1990 (aged 27),14,0,Sangju Sangmu,South Korea
15,MF,Jung Woo-young,(1989-12-14)14 December 1989 (aged 28),30,1,Vissel Kobe,South Korea
16,MF,Ki Sung-yueng,(1989-01-24)24 January 1989 (aged 29),102,10,Swansea City,South Korea
17,MF,Lee Jae-sung,(1992-08-10)10 August 1992 (aged 25),35,6,Jeonbuk Hyundai Motors,South Korea
18,MF,Moon Seon-min,(1992-06-09)9 June 1992 (aged 26),3,1,Incheon United,South Korea
19,DF,Kim Young-gwon,(1990-02-27)27 February 1990 (aged 28),53,2,Guangzhou Evergrande,South Korea
20,DF,Jang Hyun-soo,(1991-09-28)28 September 1991 (aged 26),51,3,FC Tokyo,South Korea
21,GK,Kim Jin-hyeon,(1987-07-06)6 July 1987 (aged 30),15,0,Cerezo Osaka,South Korea
22,DF,Go Yo-han,(1988-03-10)10 March 1988 (aged 30),20,0,FC Seoul,South Korea
23,GK,Jo Hyeon-woo,(1991-09-25)25 September 1991 (aged 26),6,0,Daegu FC,South Korea
1,GK,Robin Olsen,(1990-01-08)8 January 1990 (aged 28),18,0,Copenhagen,Sweden
2,DF,Mikael Lustig,(1986-12-13)13 December 1986 (aged 31),66,6,Celtic,Sweden
3,DF,Victor Lindelof,(1994-07-17)17 July 1994 (aged 23),21,1,Manchester United,Sweden
4,DF,Andreas Granqvist,(1985-04-16)16 April 1985 (aged 33),72,6,Krasnodar,Sweden
5,DF,Martin Olsson,(1988-05-17)17 May 1988 (aged 30),43,5,Swansea City,Sweden
